PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,Yrs of Exp
"Gordon
Hayward",CHA,20,F,6-7,225 lbs,USA,13
"Theo
Maledon",CHA,9,G,6-4,175 lbs,France,3
"Cody
Martin",CHA,11,F,6-6,205 lbs,USA,4
"Bryce
McGowens",CHA,7,G,6-6,175 lbs,USA,1
"Brandon
Miller",CHA,24,F,6-7,200 lbs,USA,1
"Frank
Ntilikina",CHA,44,G,6-4,200 lbs,France,6
"Nick
Richards",CHA,4,C,7-0,245 lbs,Jamaica,3
"Terry
Rozier",CHA,3,G,6-1,190 lbs,USA,8
"Ish
Smith",CHA,14,G,6-0,175 lbs,USA,13
"Nick
Smith Jr.",CHA,8,G,6-2,185 lbs,USA,1
"JT
Thor",CHA,21,F,6-9,203 lbs,USA,2
"P.J.
Washington",CHA,25,F,6-7,230 lbs,USA,4
"Mark
Williams",CHA,5,C,7-0,240 lbs,USA,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Ochai
Agbaji",UTA,30,G,6-5,215 lbs,USA,1
"Josh
Christopher",UTA,13,G,6-4,215 lbs,USA,2
"Jordan
Clarkson",UTA,0,G,6-3,194 lbs,USA,9
"John
Collins",UTA,20,F-C,6-9,226 lbs,USA,6
"Kris
Dunn",UTA,11,G,6-3,205 lbs,USA,7
"Simone
Fontecchio",UTA,16,F,6-7,209 lbs,Italy,1
"Keyonte
George",UTA,3,G,6-4,185 lbs,USA,1
"Taylor
Hendricks",UTA,0,F,6-9,215 lbs,USA,1
"Talen
Horton-Tucker",UTA,5,G,6-4,234 lbs,USA,4
"Johnny
Juzang",UTA,33,G,6-5,209 lbs,USA,1
"Walker
Kessler",UTA,24,C,7-0,245 lbs,USA,1
"Lauri
Markkanen",UTA,23,F-C,7-0,240 lbs,Finland,6
"Kelly
Olynyk",UTA,41,F-C,6-11,240 lbs,Canada,10
"Micah
Potter",UTA,25,C,6-9,248 lbs,USA,2
"Luka
Samanic",UTA,19,F,6-10,227 lbs,Croatia,4
"Brice
Sensabaugh",UTA,8,F,6-5,235 lbs,USA,1
"Collin
Sexton",UTA,2,G,6-3,190 lbs,USA,5
"Omer
Yurtseven",UTA,77,C,6-11,275 lbs,Turkey,3
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Harrison
Barnes",SAC,40,F,6-8,225 lbs,USA,11
"Chris
Duarte",SAC,3,G,6-5,190 lbs,Dominican Republic,2
"Kessler
Edwards",SAC,17,F,6-7,203 lbs,USA,2
"Keon
Ellis",SAC,23,G,6-3,175 lbs,USA,1
"Jordan
Ford",SAC,31,G,6-1,175 lbs,USA,1
"De'Aaron
Fox",SAC,5,G,6-3,185 lbs,USA,6
"Kevin
Huerter",SAC,9,G-F,6-7,198 lbs,USA,5
"Colby
Jones",SAC,20,G,6-6,207 lbs,USA,1
"Alex
Len",SAC,25,C,7-0,250 lbs,Ukraine,10
"Trey
Lyles",SAC,41,F,6-9,234 lbs,Canada,8
"JaVale
McGee",SAC,0,C-F,7-0,270 lbs,USA,15
"Davion
Mitchell",SAC,15,G,6-0,202 lbs,USA,2
"Malik
Monk",SAC,0,G,6-3,200 lbs,USA,6
"Keegan
Murray",SAC,13,F,6-8,225 lbs,USA,1
"Filip
Petrusev",SAC,33,C,6-11,225 lbs,Serbia,1
"Domantas
Sabonis",SAC,10,F-C,6-10,240 lbs,Lithuania,7
"Jalen
Slawson",SAC,18,F,6-7,215 lbs,USA,1
"Sasha
Vezenkov",SAC,7,F,6-8,225 lbs,Bulgaria,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Ryan
Arcidiacono",NYK,51,G,6-3,195 lbs,USA,6
"RJ
Barrett",NYK,9,F-G,6-6,214 lbs,Canada,4
"Charlie
Brown Jr.",NYK,16,G,6-6,199 lbs,USA,3
"Jalen
Brunson",NYK,11,G,6-2,190 lbs,USA,5
"Donte
DiVincenzo",NYK,0,G,6-4,203 lbs,USA,5
"Evan
Fournier",NYK,13,G-F,6-6,205 lbs,France,11
"Quentin
Grimes",NYK,6,G,6-5,210 lbs,USA,2
"Josh
Hart",NYK,3,G,6-4,215 lbs,USA,6
"Isaiah
Hartenstein",NYK,55,C-F,7-0,250 lbs,Germany,5
"DaQuan
Jeffries",NYK,8,G-F,6-5,222 lbs,USA,4
"Miles
McBride",NYK,2,G,6-1,195 lbs,USA,2
"Immanuel
Quickley",NYK,5,G,6-2,190 lbs,USA,3
"Julius
Randle",NYK,30,F-C,6-8,250 lbs,USA,9
"Mitchell
Robinson",NYK,23,C-F,7-0,240 lbs,USA,5
"Jericho
Sims",NYK,45,C,6-10,250 lbs,USA,2
"Jacob
Toppin",NYK,0,F,6-8,200 lbs,USA,1
"Duane
Washington Jr.",NYK,4,G,6-2,197 lbs,Germany,2
"Dylan
Windler",NYK,20,G-F,6-7,196 lbs,USA,4
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Colin
Castleton",LAL,14,C,6-10,250 lbs,USA,1
"Max
Christie",LAL,10,G,6-5,190 lbs,USA,1
"Anthony
Davis",LAL,3,F-C,6-10,253 lbs,USA,11
"Alex
Fudge",LAL,17,F,6-8,200 lbs,USA,1
"Rui
Hachimura",LAL,28,F,6-8,230 lbs,Japan,4
"Jaxson
Hayes",LAL,11,C-F,7-0,220 lbs,USA,4
"D'Moi
Hodge",LAL,55,G,6-3,188 lbs,British Virgin Islands,1
"Jalen
Hood-Schifino",LAL,0,G,6-5,215 lbs,USA,1
"LeBron
James",LAL,23,F,6-9,250 lbs,USA,20
"Maxwell
Lewis",LAL,21,F,6-7,195 lbs,USA,1
"Taurean
Prince",LAL,12,F,6-6,218 lbs,USA,7
"Austin
Reaves",LAL,15,G,6-5,197 lbs,USA,2
"Cam
Reddish",LAL,5,F-G,6-7,217 lbs,USA,4
"D'Angelo
Russell",LAL,1,G,6-3,193 lbs,USA,8
"Jarred
Vanderbilt",LAL,2,F,6-8,214 lbs,USA,5
"Gabe
Vincent",LAL,7,G,6-2,200 lbs,USA,4
"Christian
Wood",LAL,35,F,6-8,214 lbs,USA,7
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Cole
Anthony",ORL,50,G,6-2,185 lbs,USA,3
"Paolo
Banchero",ORL,5,F,6-10,250 lbs,USA,1
"Goga
Bitadze",ORL,35,C-F,6-10,250 lbs,Georgia,4
"Anthony
Black",ORL,0,G,6-7,200 lbs,USA,1
"Wendell
Carter Jr.",ORL,34,C-F,6-10,270 lbs,USA,5
"Markelle
Fultz",ORL,20,G,6-4,209 lbs,USA,6
"Gary
Harris",ORL,14,G,6-4,210 lbs,USA,9
"Kevon
Harris",ORL,8,G,6-5,216 lbs,USA,1
"Caleb
Houstan",ORL,2,G,6-8,205 lbs,Canada,1
"Jett
Howard",ORL,13,G,6-6,215 lbs,USA,1
"Joe
Ingles",ORL,7,F-G,6-9,220 lbs,Australia,9
"Jonathan
Isaac",ORL,1,F,6-10,230 lbs,USA,6
"Chuma
Okeke",ORL,3,F,6-7,229 lbs,USA,3
"Trevelin
Queen",ORL,12,G,6-5,190 lbs,USA,2
"Admiral
Schofield",ORL,25,F,6-5,241 lbs,United Kingdom,3
"Jalen
Suggs",ORL,4,G,6-5,205 lbs,USA,2
"Franz
Wagner",ORL,22,F,6-10,220 lbs,Germany,2
"Moritz
Wagner",ORL,21,F-C,6-11,245 lbs,Germany,5
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Greg
Brown III",DAL,36,F,6-7,206 lbs,USA,2
"Seth
Curry",DAL,30,G,6-1,185 lbs,USA,10
"Dexter
Dennis",DAL,38,G,6-5,210 lbs,USA,1
"Luka
Doncic",DAL,77,F-G,6-7,230 lbs,Slovenia,5
"Dante
Exum",DAL,0,G,6-5,214 lbs,Australia,7
"Josh
Green",DAL,8,G,6-5,200 lbs,Australia,3
"Tim
Hardaway Jr.",DAL,10,G-F,6-5,205 lbs,USA,10
"Jaden
Hardy",DAL,1,G,6-3,198 lbs,USA,1
"Richaun
Holmes",DAL,20,F,6-9,235 lbs,USA,8
"Kyrie
Irving",DAL,11,G,6-2,195 lbs,Australia,12
"Derrick
Jones Jr.",DAL,55,F,6-6,210 lbs,USA,7
"Maxi
Kleber",DAL,42,F,6-10,240 lbs,Germany,6
"A.J.
Lawson",DAL,9,G,6-6,179 lbs,Canada,1
"Dereck
Lively II",DAL,2,C,7-1,230 lbs,USA,1
"Markieff
Morris",DAL,88,F,6-9,245 lbs,USA,12
"Dwight
Powell",DAL,7,F-C,6-10,240 lbs,Canada,9
"Olivier-Maxence
Prosper",DAL,18,F,6-7,230 lbs,Canada,1
"Grant
Williams",DAL,3,F,6-6,236 lbs,USA,4
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Christian
Braun",DEN,0,G,6-6,220 lbs,USA,1
"Kentavious
Caldwell-Pope",DEN,5,G,6-5,204 lbs,USA,10
